resource_id,fte_assigned,billable_hours,bench_time,overallocated
1,366.67,35,116.24,0
2,79.66,51,98.55,0
3,222.36,34,204.34,0
4,355.01,30,60.57,0
5,308.07,37,258.43,1
6,326.2,36,299.26,1
7,223.11,26,148.07,0
8,261.57,30,174.54,0
9,447.35,48,483.25,1
10,63.54,24,490.28,1
11,88.45,18,62.47,0
12,14.95,50,464.32,0
13,283.25,9,59.86,0
14,91.63,14,331.49,0
15,165.39,4,398.6,1
16,498.34,17,273.38,1
17,415.35,27,301.81,1
18,50.06,24,36.05,0
19,473.25,33,299.83,1
20,204.95,50,493.85,1
21,254.49,8,80.26,0
22,423.3,30,417.32,1
23,222.29,2,422.65,1
24,77.45,28,32.98,0
25,117.9,13,443.94,1
26,146.54,7,481.64,1
27,262.56,32,457.19,1
28,15.01,7,87.26,0
29,51.01,36,158.58,0
30,400.63,31,81.02,0
31,497.11,57,351.34,1
32,64.8,4,248.31,0
33,364.25,19,242.55,1
34,180.09,32,184.73,0
35,59.99,52,62.12,0
36,244.85,34,432.27,1
37,21.94,39,189.51,0
38,390.27,9,181.51,1
39,489.07,41,35.98,1
40,21.12,37,119.12,0
41,11.83,13,373.18,0
42,410.37,31,40.3,0
43,26.48,42,330.72,0
44,326.6,49,278.9,1
45,207.04,41,416.61,1
46,63.47,42,81.85,0
47,258.49,18,358.56,1
48,218.5,16,108.35,0
49,200.53,17,68.88,0
50,357.47,49,206.29,1
51,231.78,58,36.39,0
52,178.13,1,227.88,0
53,157.64,31,475.8,1
54,119.24,15,139.73,0
55,34.3,3,489.51,0
56,247.34,15,493.7,1
57,467.51,54,177.23,1
58,385.91,49,371.28,1
59,81.49,59,364.37,0
60,247.19,1,285.02,0
61,417.69,55,425.74,1
62,25.64,34,156.4,0
63,205.52,21,317.75,0
64,289.42,9,125.95,0
65,75.19,14,485.45,1
66,416.18,3,119.18,0
67,54.55,13,64.76,0
68,301.28,38,55.96,0
69,252.83,57,261.42,1
70,135.71,7,293.21,0
71,159.63,26,63.13,0
72,76.71,4,465.75,0
73,337.54,41,93.73,0
74,371.4,55,386.2,1
75,439.43,16,253.16,1
76,80.89,23,21.96,0
77,271.31,9,273.78,1
78,454.57,55,140.05,1
79,154.37,16,372.19,0
80,247.59,26,73.19,0
81,360.6,2,51.07,0
82,239.94,14,341.5,1
83,75.01,16,432.06,0
84,459.49,54,19.42,0
85,356.92,41,284.11,1
86,473.02,53,173.87,1
87,457.57,2,494.21,1
88,273.88,54,272.48,1
89,484.59,32,387.67,1
90,109.37,51,315.35,0
91,171.01,23,364.19,1
92,303.4,43,13.27,0
93,100.97,51,310.4,0
94,53.52,32,61.83,0
95,222.36,11,135.02,0
96,269.63,33,214.03,0
97,171.25,44,154.21,0
98,79.8,43,109.21,0
99,411.57,41,480.68,1
100,324.41,29,334.59,1
101,97.74,3,333.82,0
102,360.31,48,246.94,1
103,132.16,10,476.7,1
104,315.68,13,225.86,1
105,482.53,14,398.63,1
106,470.94,27,452.84,1
107,47.54,16,36.99,0
108,16.43,24,106.63,0
109,444.06,23,250.02,1
110,87.2,16,44.18,0
111,494.88,59,488.79,1
112,172.87,52,42.67,0
113,86.68,4,332.51,0
114,64.32,19,269.07,0
115,430.88,40,140.65,1
116,252.2,24,216.64,0
117,337.91,46,116.66,0
118,329.39,49,174.13,0
119,136.9,7,11.85,0
120,73.03,51,430.21,1
121,92.68,30,273.68,0
122,477.35,26,17.82,0
123,412.51,16,37.76,0
124,47.43,37,195.49,0
125,206.19,51,292.37,0
126,26.75,49,212.17,0
127,473.34,39,231.18,1
128,84.28,41,355.63,0
129,54.83,40,24.38,0
130,476.16,21,472.06,1
131,171.42,57,369.06,1
132,144.84,1,208.61,0
133,498.7,57,482.18,1
134,442.63,42,66.25,0
135,115.48,11,467.77,1
136,188.16,50,291.72,0
137,253.02,46,75.91,0
138,219.5,28,187.69,0
139,326.75,45,282.92,1
140,253.31,29,275.03,1
141,281.89,25,161.25,0
142,309.01,1,478.57,1
143,399.05,14,115.42,0
144,282.23,49,192.96,0
145,404.29,48,459.24,1
146,184.39,17,82.33,0
147,400.93,7,397.93,1
148,153.95,25,213.19,0
149,426.48,41,399.46,1
150,200.46,52,201.01,0
151,11.97,25,449.69,0
152,117.17,37,291.13,0
153,255.61,40,92.71,0
154,135.96,5,430.42,1
155,399.38,33,20.83,0
156,237.17,48,29.42,0
157,451.0,35,463.15,1
158,101.68,38,89.43,0
159,245.88,53,229.54,0
160,246.45,53,252.24,0
161,317.52,10,191.99,0
162,339.77,13,414.07,1
163,409.57,58,349.13,1
164,115.33,7,302.89,0
165,133.53,29,145.59,0
166,404.32,28,19.04,0
167,27.87,42,218.59,0
168,353.41,2,361.72,1
169,52.54,54,374.92,0
170,483.82,8,195.82,1
171,114.89,59,109.85,0
172,401.09,24,51.85,0
173,235.77,6,164.85,0
174,363.4,41,480.67,1
175,153.18,27,179.17,0
176,38.75,28,330.73,0
177,105.66,38,83.61,0
178,133.91,19,203.91,0
179,435.4,47,271.68,1
180,349.79,47,49.71,0
181,238.11,31,395.55,1
182,378.16,44,416.76,1
183,482.63,53,14.04,0
184,106.13,23,66.02,0
185,167.42,40,78.1,0
186,397.77,47,198.68,1
187,79.64,16,474.04,1
188,105.15,44,107.04,0
189,198.57,17,352.46,1
190,469.44,51,444.74,1
191,290.38,1,81.89,0
192,302.67,59,385.63,1
193,223.83,50,302.18,1
194,182.58,6,224.59,0
195,11.63,27,394.87,0
196,391.09,33,440.46,1
197,146.34,14,258.96,0
198,41.72,6,183.07,0
199,125.82,35,190.47,0
200,485.52,48,180.27,1
201,322.43,33,57.59,0
202,425.38,4,129.57,1
203,425.21,5,186.08,1
204,418.02,1,449.45,1
205,448.07,23,452.63,1
206,35.95,15,115.48,0
207,167.12,14,278.47,0
208,91.03,49,306.99,0
209,208.71,14,201.17,0
210,250.59,20,146.42,0
211,160.64,13,237.12,0
212,368.41,58,136.86,1
213,70.18,27,315.63,0
214,47.66,36,130.64,0
215,467.16,6,132.56,1
216,315.15,1,478.97,1
217,274.26,40,152.55,0
218,425.76,8,373.18,1
219,237.26,29,97.37,0
220,359.98,22,130.13,0
221,109.71,13,15.06,0
222,48.61,15,193.28,0
223,288.98,36,242.87,1
224,186.24,30,333.34,0
225,206.54,1,249.01,0
226,453.82,4,189.21,1
227,387.59,46,285.33,1
228,428.46,49,121.26,1
229,153.84,47,395.69,1
230,86.17,41,16.8,0
231,219.4,56,315.33,1
232,496.42,44,447.1,1
233,267.09,12,294.0,1
234,315.35,41,237.37,1
235,449.6,35,21.64,0
236,306.75,29,155.43,0
237,273.81,20,230.81,0
238,50.84,47,141.52,0
239,66.77,14,285.23,0
240,169.11,27,190.65,0
241,325.04,44,455.07,1
242,62.99,40,445.84,0
243,445.02,38,277.95,1
244,72.28,3,82.56,0
245,473.39,43,422.19,1
246,48.66,23,75.68,0
247,276.71,42,493.33,1
248,415.89,27,15.9,0
249,150.2,8,445.43,1
250,199.14,55,421.46,1
251,253.0,45,222.35,0
252,191.13,22,46.1,0
253,176.52,14,256.89,0
254,88.21,4,255.05,0
255,387.38,32,98.97,0
256,280.67,2,401.16,1
257,402.76,22,211.19,1
258,273.62,29,181.0,0
259,258.39,18,474.91,1
260,99.96,9,273.91,0
261,136.04,11,498.51,1
262,451.17,43,268.56,1
263,438.73,45,373.15,1
264,269.64,32,23.01,0
265,104.11,32,200.03,0
266,479.29,24,439.47,1
267,378.4,42,175.08,1
268,253.53,1,429.89,1
269,319.87,29,356.76,1
270,197.47,46,137.18,0
271,416.8,34,416.78,1
272,163.75,9,165.22,0
273,261.01,5,260.9,0
274,475.48,37,304.57,1
275,340.77,57,73.99,0
276,401.96,13,300.46,1
277,239.14,12,114.34,0
278,294.1,49,306.04,1
279,324.24,4,411.9,1
280,48.35,58,462.66,1
281,178.56,30,495.08,1
282,270.92,46,158.9,0
283,397.04,54,383.9,1
284,411.97,32,335.44,1
285,99.0,4,293.79,0
286,315.57,9,245.76,1
287,405.97,58,163.01,1
288,497.43,53,271.35,1
289,460.07,26,327.36,1
290,252.04,20,347.54,1
291,413.59,19,15.68,0
292,461.47,41,325.01,1
293,166.51,30,123.44,0
294,212.52,6,327.66,0
295,413.66,47,93.18,0
296,159.61,3,387.32,0
297,160.0,35,104.51,0
298,84.69,27,131.29,0
299,441.44,53,480.98,1
300,344.22,9,336.01,1
301,483.81,10,421.08,1
302,256.91,27,16.34,0
303,286.39,56,314.75,1
304,86.8,9,201.0,0
305,91.06,17,314.47,0
306,187.95,21,12.08,0
307,364.2,15,416.01,1
308,269.8,10,415.55,1
309,114.32,32,31.7,0
310,231.41,2,420.21,1
311,115.94,53,413.18,1
312,426.84,54,458.82,1
313,320.83,56,440.44,1
314,441.94,18,33.62,0
315,361.49,49,124.09,0
316,179.68,32,83.86,0
317,353.8,31,226.16,1
318,498.54,57,85.4,1
319,331.85,29,431.66,1
320,195.73,3,226.41,0
321,353.0,30,321.35,1
322,339.31,22,474.63,1
323,222.52,10,218.8,0
324,365.81,32,315.62,1
325,474.53,32,32.24,0
326,148.65,35,461.88,1
327,372.92,34,23.05,0
328,199.58,51,223.0,0
329,341.49,21,149.42,0
330,448.1,14,430.89,1
331,101.66,52,301.8,0
332,122.78,48,96.96,0
333,118.11,28,81.49,0
334,254.15,44,477.64,1
335,269.27,10,249.07,0
336,479.0,29,455.68,1
337,152.82,21,268.08,0
338,391.85,15,80.17,0
