Date,Region,Product,MarketingSpend,UnitsSold,Revenue,Satisfaction,Churn
2023-04-13,North,D,4283.18,47,457.63,4,0
2024-03-11,North,A,4478.15,44,1589.74,3,1
2023-09-28,North,C,6079.97,51,5289.86,1,1
2023-04-17,East,A,2726.04,53,3525.31,1,0
2023-03-13,East,A,2905.8,60,2887.45,2,0
2024-12-01,West,C,5361.41,51,4678.81,4,0
2023-01-21,South,C,7788.28,52,5700.33,3,0
2024-09-06,East,C,6575.48,43,4461.85,4,0
2023-05-02,East,A,3676.2,61,3695.11,2,0
2024-04-11,South,A,4873.03,64,2554.82,5,0
2023-08-03,East,C,2535.98,49,5505.83,1,1
2023-11-27,North,D,1671.67,54,845.77,3,0
2024-04-03,North,D,8044.26,51,1385.91,5,0
2023-03-29,South,B,3388.49,53,4181.39,2,0
2024-01-08,West,C,2599.9,56,5693.01,4,1
2023-04-10,West,B,7224.56,55,4655.3,1,1
2024-10-25,South,D,6562.47,60,886.67,3,0
2023-05-11,South,B,6698.71,46,3520.5,5,0
2024-10-23,North,C,3060.05,61,6699.82,5,0
2023-11-05,West,C,3093.81,53,5329.65,1,0
2023-12-10,East,C,2987.22,65,5928.83,4,1
2024-05-06,North,A,2563.77,55,3253.75,2,0
2024-02-18,South,B,6901.51,36,2375.84,4,0
2024-01-21,West,D,8632.14,50,1087.84,4,0
2023-07-11,East,D,7518.86,33,514.93,4,0
2023-10-04,East,D,8128.84,46,1280.66,1,0
2023-06-10,North,A,4643.19,47,2441.53,1,0
2024-04-04,West,A,6886.68,63,2515.45,2,0
2023-11-10,West,C,4188.13,51,4568.18,4,0
2023-01-22,South,D,5729.54,49,1122.76,1,0
2023-09-10,West,A,5334.71,59,2472.51,2,0
2024-07-14,West,C,2591.98,61,6118.38,2,0
2024-04-19,North,D,4483.71,50,1680.61,4,0
2023-02-28,West,B,9674.4,53,4086.94,3,1
2024-05-25,East,C,3237.22,53,5412.67,4,1
2024-11-12,North,A,2204.23,48,3235.5,3,1
2024-04-20,North,A,4767.23,50,2711.84,2,1
2024-11-30,South,C,8113.04,49,5291.98,1,1
2023-07-09,West,C,6239.33,42,3992.69,5,0
2024-11-17,South,A,7128.77,58,3372.0,2,0
2024-07-16,East,B,2707.25,47,3293.82,1,1
2024-07-20,North,D,6570.53,48,1645.72,2,1
2023-09-01,North,B,3911.5,70,4564.32,4,0
2024-05-19,North,C,8508.73,46,4683.12,3,0
2023-05-11,East,B,6663.69,49,3187.31,2,1
2024-04-29,East,A,2789.71,59,3418.02,1,0
2024-10-08,South,C,1581.55,58,6237.94,4,0
2023-01-21,South,D,1383.7,47,1176.69,5,0
2023-06-16,South,A,4342.68,57,3874.79,4,0
2023-10-01,West,A,3392.66,57,2707.06,3,0
